,word,ls_word_acc,cr_word_acc,ls_word_count,cr_word_count
2,tromp,0.0,0.0,18,18
6,wi,0.0,12.0,16,16
7,eh,0.0,0.0,15,15
13,loch,0.0,8.0,12,12
15,tonight,0.0,0.0,12,12
16,ashur,0.0,0.0,11,11
25,daresay,0.0,33.0,9,9
35,aye,0.0,0.0,7,7
37,cheque,0.0,0.0,7,7
45,phi,0.0,0.0,7,7
48,sew,0.0,43.0,7,7
54,creche,0.0,0.0,6,6
55,daemon,0.0,0.0,6,6
56,dak,0.0,0.0,6,6
66,morgue,0.0,0.0,6,6
70,pee,0.0,0.0,6,6
74,sab,0.0,17.0,6,6
76,sibyl,0.0,17.0,6,6
77,thro,0.0,17.0,6,6
81,adieu,0.0,20.0,5,5
89,dey,0.0,20.0,5,5
90,di,0.0,0.0,5,5
92,enquire,0.0,0.0,5,5
97,gnaw,0.0,0.0,5,5
100,kodak,0.0,0.0,5,5
115,terek,0.0,0.0,5,5
116,tho,0.0,0.0,5,5
119,wid,0.0,0.0,5,5
121,woodyard,0.0,0.0,5,5
122,yer,0.0,0.0,5,5
124,adad,0.0,0.0,4,4
125,aeroplane,0.0,50.0,4,4
135,connexion,0.0,0.0,4,4
141,downhill,0.0,25.0,4,4
143,enquiry,0.0,50.0,4,4
153,hostel,0.0,0.0,4,4
154,humph,0.0,0.0,4,4
160,kan,0.0,0.0,4,4
167,mollie,0.0,0.0,4,4
172,naught,0.0,0.0,4,4
177,pooh,0.0,25.0,4,4
180,puck,0.0,0.0,4,4
181,pyroxyle,0.0,0.0,4,4
183,rendezvous,0.0,0.0,4,4
185,routh,0.0,0.0,4,4
192,sate,0.0,0.0,4,4
193,savant,0.0,25.0,4,4
197,souled,0.0,25.0,4,4
201,tink,0.0,0.0,4,4
202,toothache,0.0,0.0,4,4
205,vapor,0.0,50.0,4,4
210,afterdeck,0.0,0.0,3,3
211,aha,0.0,0.0,3,3
219,ave,0.0,0.0,3,3
222,beau,0.0,0.0,3,3
225,boa,0.0,0.0,3,3
229,brake,0.0,0.0,3,3
231,bulldog,0.0,33.0,3,3
232,bung,0.0,0.0,3,3
233,butte,0.0,0.0,3,3
242,clawed,0.0,33.0,3,3
246,cox,0.0,33.0,3,3
248,dar,0.0,0.0,3,3
249,deathbed,0.0,0.0,3,3
253,duple,0.0,0.0,3,3
255,ecclesiastics,0.0,100.0,3,3
257,entrust,0.0,0.0,3,3
265,feint,0.0,33.0,3,3
268,frazer,0.0,67.0,3,3
270,galled,0.0,0.0,3,3
271,gee,0.0,0.0,3,3
283,highroad,0.0,0.0,3,3
285,huh,0.0,0.0,3,3
288,islet,0.0,0.0,3,3
298,kennel,0.0,0.0,3,3
305,lithe,0.0,0.0,3,3
309,luke,0.0,33.0,3,3
312,mae,0.0,33.0,3,3
315,melee,0.0,0.0,3,3
317,millward,0.0,0.0,3,3
319,mow,0.0,67.0,3,3
323,na,0.0,0.0,3,3
326,nobbler,0.0,0.0,3,3
334,papoose,0.0,67.0,3,3
338,pocketbook,0.0,0.0,3,3
339,poly,0.0,0.0,3,3
341,prithee,0.0,0.0,3,3
345,quarterstaff,0.0,33.0,3,3
347,reel,0.0,33.0,3,3
351,riverside,0.0,33.0,3,3
353,ruse,0.0,0.0,3,3
356,samurai,0.0,0.0,3,3
357,sapphire,0.0,33.0,3,3
358,schoolfellow,0.0,0.0,3,3
363,smallpox,0.0,0.0,3,3
364,someways,0.0,0.0,3,3
367,stile,0.0,0.0,3,3
373,tablecloth,0.0,0.0,3,3
376,tanned,0.0,0.0,3,3
377,thar,0.0,33.0,3,3
384,twofold,0.0,33.0,3,3
387,ugh,0.0,0.0,3,3
390,usurp,0.0,0.0,3,3
394,wetted,0.0,0.0,3,3
395,whar,0.0,0.0,3,3
398,whew,0.0,0.0,3,3
399,wholeheartedly,0.0,0.0,3,3
401,wight,0.0,0.0,3,3
403,wineglass,0.0,0.0,3,3
404,worcester,0.0,0.0,3,3
405,wraith,0.0,0.0,3,3
410,yed,0.0,0.0,3,3
411,yere,0.0,0.0,3,3
412,yor,0.0,0.0,3,3
413,yore,0.0,0.0,3,3
419,affective,0.0,50.0,2,2
421,aglow,0.0,50.0,2,2
427,amuck,0.0,0.0,2,2
428,anchovy,0.0,0.0,2,2
431,antisocial,0.0,50.0,2,2
441,awash,0.0,50.0,2,2
444,ba,0.0,0.0,2,2
446,baleen,0.0,0.0,2,2
447,ballet,0.0,100.0,2,2
448,baptize,0.0,100.0,2,2
449,bastinado,0.0,0.0,2,2
450,bate,0.0,0.0,2,2
451,baton,0.0,0.0,2,2
454,begat,0.0,0.0,2,2
457,beni,0.0,0.0,2,2
460,bewitch,0.0,0.0,2,2
463,bodyguard,0.0,0.0,2,2
469,bourgeoise,0.0,0.0,2,2
473,brat,0.0,100.0,2,2
476,broomstick,0.0,0.0,2,2
478,bu,0.0,0.0,2,2
480,bulletin,0.0,50.0,2,2
481,buttonhole,0.0,0.0,2,2
483,ca,0.0,0.0,2,2
485,campfire,0.0,0.0,2,2
488,canvass,0.0,0.0,2,2
491,captor,0.0,100.0,2,2
493,carefree,0.0,0.0,2,2
494,carouse,0.0,0.0,2,2
498,cavil,0.0,0.0,2,2
502,cetacean,0.0,0.0,2,2
507,childbirth,0.0,50.0,2,2
516,clique,0.0,0.0,2,2
520,conte,0.0,0.0,2,2
521,contrariwise,0.0,0.0,2,2
523,copperas,0.0,50.0,2,2
525,corduroy,0.0,0.0,2,2
530,courthouse,0.0,50.0,2,2
535,cuckoo,0.0,50.0,2,2
537,cum,0.0,0.0,2,2
540,da,0.0,0.0,2,2
541,dancer,0.0,0.0,2,2
543,daub,0.0,0.0,2,2
546,dearie,0.0,0.0,2,2
551,demi,0.0,0.0,2,2
552,demoniac,0.0,50.0,2,2
553,dent,0.0,0.0,2,2
564,displace,0.0,0.0,2,2
566,dithyrambic,0.0,100.0,2,2
571,downstream,0.0,0.0,2,2
572,dram,0.0,50.0,2,2
579,eer,0.0,0.0,2,2
581,effrontery,0.0,0.0,2,2
582,effulgent,0.0,0.0,2,2
590,ensign,0.0,0.0,2,2
593,erratically,0.0,50.0,2,2
610,feign,0.0,0.0,2,2
618,flay,0.0,0.0,2,2
621,flyaway,0.0,0.0,2,2
622,foal,0.0,0.0,2,2
626,foolhardy,0.0,50.0,2,2
627,forcemeat,0.0,0.0,2,2
630,forge,0.0,0.0,2,2
636,fum,0.0,0.0,2,2
638,fume,0.0,50.0,2,2
647,gibe,0.0,0.0,2,2
650,glassware,0.0,0.0,2,2
651,goddaughter,0.0,0.0,2,2
655,goo,0.0,0.0,2,2
657,goodwife,0.0,0.0,2,2
658,goodwill,0.0,0.0,2,2
659,gorse,0.0,50.0,2,2
661,gourd,0.0,0.0,2,2
662,gram,0.0,50.0,2,2
667,grime,0.0,50.0,2,2
668,gripe,0.0,50.0,2,2
669,gros,0.0,0.0,2,2
672,guava,0.0,50.0,2,2
676,halcyon,0.0,0.0,2,2
677,hallowed,0.0,50.0,2,2
679,handicapped,0.0,100.0,2,2
680,haply,0.0,0.0,2,2
683,haw,0.0,0.0,2,2
684,healthful,0.0,100.0,2,2
685,heartsick,0.0,0.0,2,2
691,hew,0.0,0.0,2,2
692,hey,0.0,0.0,2,2
697,hoar,0.0,0.0,2,2
699,hoe,0.0,0.0,2,2
702,honorably,0.0,50.0,2,2
