Word            	Accuracy
zoology         	100.0
zoologist       	100.0
zodiac          	100.0
zest            	100.0
zealand         	100.0
zeal            	100.0
youthful        	100.0
youngest        	100.0
yorkshire       	100.0
york            	100.0
yonder          	100.0
yoke            	100.0
yielding        	100.0
yielded         	100.0
yevgeny         	100.0
yesterdays      	100.0
yesterday       	100.0
yeomen          	100.0
yells           	100.0
yelling         	100.0
yearly          	100.0
yarns           	100.0
yarn            	100.0
yards           	100.0
yankees         	100.0
wry             	100.0
wrung           	100.0
written         	100.0
writings        	100.0
writing         	100.0
writes          	100.0
writers         	100.0
writer          	100.0
wrists          	100.0
wrinkles        	100.0
wringing        	100.0
wriggling       	100.0
wretchedness    	100.0
wretchedest     	100.0
wrestled        	100.0
wreckage        	100.0
wreath          	100.0
wrath           	100.0
wraps           	100.0
woven           	100.0
wounds          	100.0
wounded         	100.0
wound           	100.0
wouldst         	100.0
wouldnt         	100.0
worthless       	100.0
worth           	100.0
worships        	100.0
worshippers     	100.0
worshipped      	100.0
worrying        	100.0
worry           	100.0
worries         	100.0
worried         	100.0
worn            	100.0
worms           	100.0
worldly         	100.0
workshop        	100.0
workmen         	100.0
working         	100.0
workhouse       	100.0
workers         	100.0
worked          	100.0
workable        	100.0
wordless        	100.0
woodson         	100.0
woodland        	100.0
wondrous        	100.0
wonderingly     	100.0
wondering       	100.0
wonderfully     	100.0
womens          	100.0
women           	100.0
wolves          	100.0
wizards         	100.0
wizard          	100.0
wives           	100.0
wittily         	100.0
wits            	100.0
witnessing      	100.0
witnesses       	100.0
witness         	100.0
withhold        	100.0
withheld        	100.0
withering       	100.0
withered        	100.0
withdrew        	100.0
withdrawn       	100.0
withdrawal      	100.0
withdraw        	100.0
witchs          	100.0
wistful         	100.0
wishing         	100.0
wisest          	100.0
wiser           	100.0
wisconsin       	100.0
wires           	100.0
wiping          	100.0
wiped           	100.0
wipe            	100.0
winthrop        	100.0
winters         	100.0
winter          	100.0
winning         	100.0
winking         	100.0
winked          	100.0
winifred        	100.0
wings           	100.0
windy           	100.0
windows         	100.0
window          	100.0
winding         	100.0
winch           	100.0
wily            	100.0
wilton          	100.0
wilsons         	100.0
wilson          	100.0
