Word            	Accuracy 	Count
lelechka        	0.0 	35
couldnt         	0.0 	25
fauchelevent    	0.0 	24
phronsie        	0.0 	24
serafima        	0.0 	23
aleksandrovna   	0.0 	20
youd            	0.0 	15
gurr            	0.0 	14
ursus           	0.0 	12
anders          	0.0 	11
hermon          	0.0 	11
tommo           	0.0 	10
dostoevsky      	0.0 	9
favorite        	0.0 	9
fedosya         	0.0 	9
murdoch         	0.0 	9
timaeus         	0.0 	9
makan           	0.0 	8
rodolfo         	0.0 	8
zau             	0.0 	8
ay              	0.0 	7
christie        	0.0 	7
cinderlad       	0.0 	7
izzy            	0.0 	7
larch           	0.0 	7
minnetaki       	0.0 	7
ol              	0.0 	7
servadac        	0.0 	7
ann             	0.0 	6
archy           	0.0 	6
arent           	0.0 	6
da              	0.0 	6
e               	0.0 	6
favourite       	0.0 	6
guenever        	0.0 	6
kaliko          	0.0 	6
kine            	0.0 	6
monseigneur     	0.0 	6
monte           	0.0 	6
nellie          	0.0 	6
neverbend       	0.0 	6
shouldst        	0.0 	6
today           	0.0 	6
trevelyan       	0.0 	6
wylder          	0.0 	6
battleax        	0.0 	5
carrie          	0.0 	5
charente        	0.0 	5
deucalion       	0.0 	5
dostoevskys     	0.0 	5
everyday        	0.0 	5
ferdinando      	0.0 	5
foal            	0.0 	5
giorgio         	0.0 	5
huntingdon      	0.0 	5
jocelyn         	0.0 	5
maestro         	0.0 	5
margolotte      	0.0 	5
marvellous      	0.0 	5
mestienne       	0.0 	5
modestovich     	0.0 	5
morrel          	0.0 	5
neighbor        	0.0 	5
nt              	0.0 	5
organiser       	0.0 	5
psalm           	0.0 	5
raystoke        	0.0 	5
sharrkan        	0.0 	5
silvia          	0.0 	5
sindbad         	0.0 	5
skillful        	0.0 	5
soames          	0.0 	5
thel            	0.0 	5
timokhin        	0.0 	5
tonight         	0.0 	5
tonnay          	0.0 	5
verloc          	0.0 	5
arsinoe         	0.0 	4
bennydeck       	0.0 	4
bolt            	0.0 	4
brau            	0.0 	4
brion           	0.0 	4
clarke          	0.0 	4
dartagnan       	0.0 	4
dorriforth      	0.0 	4
eh              	0.0 	4
emil            	0.0 	4
farrinder       	0.0 	4
foals           	0.0 	4
ghisizzle       	0.0 	4
grate           	0.0 	4
grethel         	0.0 	4
hal             	0.0 	4
hildas          	0.0 	4
hof             	0.0 	4
leavenworth     	0.0 	4
lil             	0.0 	4
maize           	0.0 	4
montalais       	0.0 	4
mustache        	0.0 	4
myrtilus        	0.0 	4
nuzhat          	0.0 	4
petya           	0.0 	4
pileser         	0.0 	4
presty          	0.0 	4
prophets        	0.0 	4
prynne          	0.0 	4
ronin           	0.0 	4
sita            	0.0 	4
solon           	0.0 	4
sydenham        	0.0 	4
tomorrow        	0.0 	4
valliere        	0.0 	4
vanar           	0.0 	4
waistcoat       	0.0 	4
werent          	0.0 	4
whale           	0.0 	4
abalones        	0.0 	3
adella          	0.0 	3
affect          	0.0 	3
agostino        	0.0 	3
aguto           	0.0 	3
aignan          	0.0 	3
alcestis        	0.0 	3
alimony         	0.0 	3
anns            	0.0 	3
aught           	0.0 	3
bannister       	0.0 	3
bazdeevs        	0.0 	3
befel           	0.0 	3
bharat          	0.0 	3
binnie          	0.0 	3
boatmen         	0.0 	3
bobbsey         	0.0 	3
bolsheviki      	0.0 	3
bragelonne      	0.0 	3
brake           	0.0 	3
britannula      	0.0 	3
bursts          	0.0 	3
butte           	0.0 	3
carey           	0.0 	3
carroll         	0.0 	3
chriss          	0.0 	3
coralie         	0.0 	3
cuisine         	0.0 	3
dandan          	0.0 	3
davrigny        	0.0 	3
dearer          	0.0 	3
dobryna         	0.0 	3
eileen          	0.0 	3
enquired        	0.0 	3
estafania       	0.0 	3
fawn            	0.0 	3
fee             	0.0 	3
fete            	0.0 	3
fling           	0.0 	3
forged          	0.0 	3
fulness         	0.0 	3
gilchrist       	0.0 	3
gobeys          	0.0 	3
goliath         	0.0 	3
gondola         	0.0 	3
guha            	0.0 	3
gwynplaines     	0.0 	3
heed            	0.0 	3
hen             	0.0 	3
hermons         	0.0 	3
hollan          	0.0 	3
hugged          	0.0 	3
huh             	0.0 	3
hullo           	0.0 	3
ichthyosaurus   	0.0 	3
interred        	0.0 	3
jakey           	0.0 	3
jes             	0.0 	3
joels           	0.0 	3
kaffar          	0.0 	3
kent            	0.0 	3
lakshman        	0.0 	3
lassens         	0.0 	3
lattimer        	0.0 	3
le              	0.0 	3
madeleine       	0.0 	3
mamochka        	0.0 	3
mayonnaise      	0.0 	3
medal           	0.0 	3
mikhaylovnas    	0.0 	3
mint            	0.0 	3
mistah          	0.0 	3
montmorency     	0.0 	3
morcerf         	0.0 	3
mormonism       	0.0 	3
neo             	0.0 	3
nestorius       	0.0 	3
nets            	0.0 	3
newberg         	0.0 	3
niccolo         	0.0 	3
nought          	0.0 	3
nuova           	0.0 	3
