Word            	Accuracy
zoology         	100.0
zoologist       	100.0
zoof            	100.0
zest            	100.0
zealand         	100.0
zeal            	100.0
zaman           	100.0
yulka           	100.0
yule            	100.0
youthful        	100.0
yourselves      	100.0
yours           	100.0
youngest        	100.0
youngers        	100.0
younger         	100.0
yorkshire       	100.0
york            	100.0
yonder          	100.0
yolks           	100.0
yoke            	100.0
yielded         	100.0
yield           	100.0
yesterdays      	100.0
yesterday       	100.0
yesm            	100.0
yeoman          	100.0
yells           	100.0
yellow          	100.0
yelling         	100.0
yelled          	100.0
yell            	100.0
yeast           	100.0
yearns          	100.0
yearning        	100.0
yearly          	100.0
year            	100.0
yea             	100.0
yarns           	100.0
yarn            	100.0
yards           	100.0
yankees         	100.0
yachtsman       	100.0
yacht           	100.0
wry             	100.0
wrung           	100.0
wrought         	100.0
wrongs          	100.0
wronged         	100.0
wrong           	100.0
writs           	100.0
writings        	100.0
writing         	100.0
writhing        	100.0
writes          	100.0
writers         	100.0
writer          	100.0
writ            	100.0
wrists          	100.0
wrist           	100.0
wrinkles        	100.0
wringing        	100.0
wriggling       	100.0
wretchedness    	100.0
wretchedest     	100.0
wretched        	100.0
wretch          	100.0
wrestlers       	100.0
wrestled        	100.0
wreckage        	100.0
wreath          	100.0
wrath           	100.0
wrapping        	100.0
wranglers       	100.0
wounds          	100.0
wound           	100.0
wouldst         	100.0
wouldnt         	100.0
wotteth         	100.0
worthless       	100.0
worthily        	100.0
worsted         	100.0
worshippers     	100.0
worshipped      	100.0
worship         	100.0
worrying        	100.0
worries         	100.0
worried         	100.0
worn            	100.0
worms           	100.0
worm            	100.0
worlds          	100.0
worldly         	100.0
workshop        	100.0
workmen         	100.0
working         	100.0
workhouse       	100.0
workers         	100.0
worker          	100.0
worked          	100.0
workable        	100.0
wordless        	100.0
woolly          	100.0
woollen         	100.0
woodson         	100.0
woodley         	100.0
woodland        	100.0
wooding         	100.0
wondrous        	100.0
wonders         	100.0
wonderingly     	100.0
wonderfully     	100.0
wonder          	100.0
womens          	100.0
womb            	100.0
womanhood       	100.0
wolves          	100.0
woes            	100.0
wizard          	100.0
wives           	100.0
witty           	100.0
wittily         	100.0
