Word            	Accuracy 	Count
lelechka        	0.0 	35
fauchelevent    	0.0 	24
dickie          	0.0 	23
leslie          	0.0 	23
serafima        	0.0 	23
annie           	0.0 	22
anyone          	0.0 	22
aleksandrovna   	0.0 	20
brahman         	0.0 	19
al              	0.0 	16
bozzle          	0.0 	14
gurr            	0.0 	14
boolooroo       	0.0 	13
tiger           	0.0 	13
lobster         	0.0 	12
sidney          	0.0 	12
eunuch          	0.0 	11
hermon          	0.0 	11
la              	0.0 	11
marguerite      	0.0 	11
beale           	0.0 	10
digger          	0.0 	10
fauvent         	0.0 	10
sergey          	0.0 	10
tommo           	0.0 	10
vault           	0.0 	10
allah           	0.0 	9
bessy           	0.0 	9
buzzard         	0.0 	9
fedosya         	0.0 	9
m               	0.0 	9
murdoch         	0.0 	9
quoth           	0.0 	9
raoul           	0.0 	9
sigurd          	0.0 	9
timaeus         	0.0 	9
wilfrid         	0.0 	9
berg            	0.0 	8
bracy           	0.0 	8
franz           	0.0 	8
jackal          	0.0 	8
kanti           	0.0 	8
mainhall        	0.0 	8
makan           	0.0 	8
moses           	0.0 	8
wickers         	0.0 	8
zau             	0.0 	8
cinderlad       	0.0 	7
crab            	0.0 	7
elaine          	0.0 	7
everyone        	0.0 	7
fitzooth        	0.0 	7
gamewell        	0.0 	7
izzy            	0.0 	7
larch           	0.0 	7
mate            	0.0 	7
ol              	0.0 	7
pigeoncote      	0.0 	7
prioress        	0.0 	7
risdon          	0.0 	7
smugglers       	0.0 	7
stevie          	0.0 	7
wicker          	0.0 	7
yo              	0.0 	7
allan           	0.0 	6
ann             	0.0 	6
anna            	0.0 	6
archy           	0.0 	6
baghdad         	0.0 	6
chamberlain     	0.0 	6
chancellor      	0.0 	6
conseil         	0.0 	6
cops            	0.0 	6
da              	0.0 	6
darcy           	0.0 	6
defense         	0.0 	6
e               	0.0 	6
eagle           	0.0 	6
grey            	0.0 	6
kaliko          	0.0 	6
kine            	0.0 	6
leocadia        	0.0 	6
levin           	0.0 	6
lucia           	0.0 	6
luke            	0.0 	6
marius          	0.0 	6
milicent        	0.0 	6
monseigneur     	0.0 	6
monte           	0.0 	6
n               	0.0 	6
peasants        	0.0 	6
s               	0.0 	6
today           	0.0 	6
woe             	0.0 	6
wylder          	0.0 	6
zarathustra     	0.0 	6
alcohol         	0.0 	5
ashley          	0.0 	5
barold          	0.0 	5
basil           	0.0 	5
battleax        	0.0 	5
bob             	0.0 	5
charente        	0.0 	5
colchester      	0.0 	5
deucalion       	0.0 	5
dostoevskys     	0.0 	5
ere             	0.0 	5
