Word: and                  Count: 8252
Word: a                    Count: 6017
Word: the                  Count: 5922
Word: in                   Count: 3202
Word: it                   Count: 2662
Word: to                   Count: 2260
Word: of                   Count: 2233
Word: i                    Count: 2231
Word: that                 Count: 1895
Word: he                   Count: 1594
Word: you                  Count: 1400
Word: but                  Count: 1395
Word: is                   Count: 1218
Word: at                   Count: 1189
Word: as                   Count: 1145
Word: her                  Count: 970
Word: or                   Count: 913
Word: was                  Count: 892
Word: had                  Count: 879
Word: an                   Count: 878
Word: then                 Count: 869
Word: him                  Count: 826
Word: they                 Count: 764
Word: on                   Count: 732
Word: with                 Count: 682
Word: who                  Count: 658
Word: are                  Count: 635
Word: for                  Count: 611
Word: his                  Count: 606
Word: when                 Count: 595
Word: if                   Count: 570
Word: were                 Count: 564
Word: what                 Count: 533
Word: this                 Count: 527
Word: would                Count: 459
Word: all                  Count: 437
Word: me                   Count: 425
Word: one                  Count: 419
Word: oh                   Count: 419
Word: have                 Count: 409
Word: them                 Count: 409
Word: there                Count: 401
Word: she                  Count: 397
Word: its                  Count: 372
Word: not                  Count: 362
Word: your                 Count: 352
Word: by                   Count: 350
Word: we                   Count: 349
Word: said                 Count: 344
Word: be                   Count: 343
Word: so                   Count: 343
Word: do                   Count: 340
Word: us                   Count: 329
Word: no                   Count: 327
Word: im                   Count: 317
Word: will                 Count: 304
Word: am                   Count: 297
Word: didnt                Count: 294
Word: up                   Count: 281
Word: our                  Count: 281
Word: which                Count: 279
Word: did                  Count: 277
Word: my                   Count: 272
Word: dont                 Count: 270
Word: now                  Count: 267
Word: though               Count: 267
Word: their                Count: 259
Word: ill                  Count: 250
Word: out                  Count: 236
Word: how                  Count: 225
Word: asked                Count: 220
Word: than                 Count: 220
Word: two                  Count: 219
Word: where                Count: 217
Word: too                  Count: 217
Word: miss                 Count: 213
Word: here                 Count: 209
Word: man                  Count: 205
Word: yes                  Count: 202
Word: why                  Count: 201
Word: know                 Count: 199
Word: into                 Count: 189
Word: can                  Count: 187
Word: like                 Count: 183
Word: any                  Count: 182
Word: yet                  Count: 182
Word: old                  Count: 176
Word: let                  Count: 170
Word: come                 Count: 167
Word: men                  Count: 167
Word: well                 Count: 166
Word: while                Count: 164
Word: only                 Count: 157
Word: has                  Count: 156
Word: see                  Count: 151
Word: may                  Count: 147
Word: these                Count: 140
Word: from                 Count: 135
Word: been                 Count: 133
Word: cant                 Count: 132
Word: couldnt              Count: 131
Word: died                 Count: 131
Word: mr                   Count: 130
Word: some                 Count: 129
Word: sir                  Count: 128
Word: ah                   Count: 123
Word: over                 Count: 120
Word: wont                 Count: 120
Word: seemed               Count: 119
Word: hundred              Count: 118
Word: made                 Count: 117
Word: thou                 Count: 116
Word: ive                  Count: 115
Word: go                   Count: 113
Word: more                 Count: 113
Word: set                  Count: 109
Word: four                 Count: 108
Word: left                 Count: 107
Word: thought              Count: 105
Word: after                Count: 104
Word: thats                Count: 104
Word: just                 Count: 103
Word: could                Count: 103
Word: does                 Count: 103
Word: upon                 Count: 103
Word: wouldnt              Count: 102
Word: twenty               Count: 102
Word: whom                 Count: 99
Word: madame               Count: 99
Word: ever                 Count: 98
Word: sent                 Count: 98
Word: about                Count: 98
Word: youre                Count: 97
Word: wasnt                Count: 97
Word: good                 Count: 96
Word: say                  Count: 96
Word: thus                 Count: 96
Word: eyes                 Count: 95
Word: day                  Count: 95
Word: poor                 Count: 95
Word: eight                Count: 94
Word: once                 Count: 93
Word: came                 Count: 93
Word: went                 Count: 92
Word: eighteen             Count: 92
Word: head                 Count: 92
Word: nor                  Count: 92
Word: air                  Count: 90
Word: eye                  Count: 90
Word: down                 Count: 89
Word: thee                 Count: 89
Word: three                Count: 88
Word: around               Count: 88
Word: away                 Count: 87
Word: very                 Count: 86
Word: way                  Count: 86
Word: ten                  Count: 86
Word: thy                  Count: 86
Word: whatever             Count: 85
Word: till                 Count: 85
Word: young                Count: 83
Word: saw                  Count: 80
Word: ought                Count: 79
Word: give                 Count: 79
Word: called               Count: 78
Word: shall                Count: 78
Word: sort                 Count: 77
Word: each                 Count: 76
Word: heard                Count: 76
Word: even                 Count: 75
Word: tell                 Count: 74
Word: o                    Count: 73
Word: thousand             Count: 72
Word: off                  Count: 72
Word: doesnt               Count: 72
Word: dartagnan            Count: 72
Word: hand                 Count: 71
Word: light                Count: 71
Word: back                 Count: 70
Word: isnt                 Count: 69
Word: house                Count: 69
Word: make                 Count: 69
Word: heart                Count: 69
Word: might                Count: 68
Word: cold                 Count: 68
Word: hear                 Count: 67
Word: de                   Count: 67
Word: lay                  Count: 66
Word: less                 Count: 65
Word: every                Count: 64
Word: through              Count: 64
Word: stood                Count: 64
Word: again                Count: 63
Word: cried                Count: 63
Word: got                  Count: 62
Word: still                Count: 62
Word: right                Count: 62
Word: under                Count: 62
Word: whose                Count: 62
Word: knit                 Count: 62
Word: youll                Count: 61
Word: time                 Count: 61
Word: look                 Count: 61
Word: done                 Count: 61
Word: little               Count: 61
Word: aunt                 Count: 61
Word: id                   Count: 60
Word: great                Count: 60
Word: returned             Count: 60
Word: toward               Count: 59
Word: long                 Count: 59
Word: son                  Count: 59
Word: other                Count: 59
Word: new                  Count: 59
Word: put                  Count: 59
Word: isabel               Count: 59
Word: anne                 Count: 58
Word: god                  Count: 58
Word: passed               Count: 57
Word: mrs                  Count: 57
Word: five                 Count: 57
Word: land                 Count: 56
Word: knew                 Count: 56
Word: room                 Count: 56
Word: side                 Count: 56
Word: open                 Count: 55
Word: sat                  Count: 55
Word: home                 Count: 55
Word: brought              Count: 55
Word: sure                 Count: 55
Word: havent               Count: 54
Word: should               Count: 54
Word: none                 Count: 54
Word: take                 Count: 54
Word: rose                 Count: 54
Word: want                 Count: 54
Word: love                 Count: 54
Word: own                  Count: 53
Word: looked               Count: 53
Word: met                  Count: 53
Word: get                  Count: 53
Word: uncle                Count: 52
Word: going                Count: 52
Word: those                Count: 52
