,bin_interval,pearson_corr
0,0-100,0.4738498195333023
1,0-50,0.12089686871179858
2,50-100,0.27912665877045945
3,0-25,0.009548942193040644
4,25-50,0.07228463262416335
5,50-75,0.08454311345381847
6,75-100,0.19404726010403134
7,0-20,0.0022724374995046134
8,20-40,0.07297898709420197
9,40-60,0.026238978306383946
10,60-80,0.10550040574518099
11,80-100,0.1743825671601637
12,0-10,0.014206058248259837
13,10-20,-0.02403542914411609
14,20-30,0.09437820713552734
15,30-40,0.08862024731556883
16,40-50,0.07588833837515657
17,50-60,-0.016862039983601654
18,60-70,0.03850888516820222
19,70-80,0.0389010148192174
20,80-90,0.10196580031522223
21,90-100,0.11937938336702675
